" player"," fg"," fg%"," 3pt"," 3pt%"," ft"," ft%"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," +/-"," min"," pts"
" #18 Konstantin"," 11-16"," 69%"," 0-0"," -"," 0-1"," 0%"," 3"," 10"," 0"," 3"," 3"," 0"," 3"," 66"," 0"," 22"
" #20 Oscar"," 10-14"," 71%"," 0-0"," -"," 1-3"," 33%"," 3"," 3"," 3"," 1"," 1"," 4"," 3"," 72"," 0"," 21"
" #62 Rasmus"," 8-17"," 47%"," 1-4"," 25%"," 4-6"," 67%"," 0"," 1"," 3"," 1"," 1"," 1"," 3"," 66"," 0"," 21"
" #22 Christoffer"," 9-15"," 60%"," 0-0"," -"," 1-2"," 50%"," 8"," 8"," 1"," 1"," 3"," 4"," 1"," 64"," 0"," 19"
" #54 Alvin"," 6-14"," 43%"," 0-3"," 0%"," 0-2"," 0%"," 0"," 3"," 1"," 3"," 4"," 0"," 2"," 72"," 0"," 12"
" #30 Sigve"," 2-6"," 33%"," 0-0"," -"," 0-0"," -"," 0"," 0"," 1"," 7"," 0"," 0"," 2"," 78"," 0"," 4"
" #11 Vemund B-N"," 1-2"," 50%"," 0-0"," -"," 0-0"," -"," 0"," 2"," 0"," 2"," 1"," 0"," 3"," 40"," 0"," 2"
" #23 Edvard"," 0-6"," 0%"," 0-1"," 0%"," 1-3"," 33%"," 0"," 5"," 0"," 1"," 1"," 0"," 1"," 50"," 0"," 1"
" #92 P. Kvale"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #5 Martin"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #3 Joakim"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #35 Vemund"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #9 Aksel"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #14 Christobal"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #6 Theo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #12 Emilian"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" Kjelsås Blå"," 47-90"," 52%"," 1-8"," 12%"," 7-17"," 41%"," 14"," 32"," 9"," 19"," 14"," 9"," 18"," -"," -"," 102"
" Asker"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," -"," -"," 0"
