" player"," fg"," fg%"," 3pt"," 3pt%"," ft"," ft%"," oreb"," dreb"," foul"," stl"," to"," blk"," asst"," +/-"," min"," pts"
" #14 Christobal"," 9-16"," 56%"," 0-0"," -"," 1-3"," 33%"," 3"," 4"," 2"," 2"," 6"," 0"," 1"," 51"," 0"," 19"
" #22 Christoffer"," 6-11"," 55%"," 0-0"," -"," 5-6"," 83%"," 2"," 17"," 2"," 2"," 1"," 6"," 0"," 55"," 0"," 17"
" #54 Alvin"," 4-11"," 36%"," 2-5"," 40%"," 0-0"," -"," 0"," 0"," 2"," 0"," 3"," 0"," 0"," 47"," 0"," 10"
" #20 Oscar"," 4-9"," 44%"," 0-0"," -"," 1-3"," 33%"," 5"," 4"," 0"," 1"," 1"," 0"," 2"," 52"," 0"," 9"
" #62 Rasmus"," 2-9"," 22%"," 0-3"," 0%"," 0-0"," -"," 0"," 1"," 4"," 3"," 4"," 0"," 2"," 31"," 0"," 4"
" #11 Vemund B-N"," 0-1"," 0%"," 0-0"," -"," 2-2"," 100%"," 0"," 1"," 1"," 2"," 4"," 0"," 0"," 22"," 0"," 2"
" #35 Vemund"," 1-2"," 50%"," 0-0"," -"," 0-0"," -"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 2"
" #5 Martin"," 0-8"," 0%"," 0-4"," 0%"," 0-0"," -"," 0"," 6"," 2"," 0"," 8"," 0"," 3"," 41"," 0"," 0"
" #30 Sigve"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 1"," 0"," 2"," 0"," 0"," 12"," 0"," 0"
" #18 Konstantin"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #92 P. Kvale"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #3 Joakim"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #9 Aksel"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #23 Edvard"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #6 Theo"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" #12 Emilian"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," -"," 0"," -"
" Kjelsås Blå"," 26-67"," 39%"," 2-12"," 17%"," 9-14"," 64%"," 10"," 34"," 14"," 10"," 29"," 6"," 8"," -"," -"," 63"
"  Bislett"," 0-0"," -"," 0-0"," -"," 0-0"," -"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," -"," -"," 0"
